word,freq
the,1401
of,928
to,670
and,632
in,579
we,406
that,320
for,315
code,310
is,290
are,215
on,201
as,191
this,186
or,164
changes,157
our,146
be,142
with,132
by,131
software,127
bug,127
have,120
not,118
fix,113
from,113
clone,108
clones,107
function,105
change,96
source,91
number,89
each,87
cvs,86
which,86
it,86
these,85
an,83
patterns,83
if,83
can,81
how,79
students,76
functions,76
may,75
tool,74
figure,71
between,68
were,67
was,67
pattern,67
they,65
one,64
data,64
information,63
two,63
work,63
student,63
analysis,63
has,63
versions,63
all,62
version,61
at,58
project,57
used,56
been,56
inducing,56
more,54
after,53
system,53
12,52
program,52
called,51
when,50
results,50
evolution,49
10,48
repository,48
programmers,47
many,46
type,46
their,46
file,46
using,46
instances,44
such,43
features,43
based,43
2004,42
grade,42
but,42
only,42
same,41
lines,41
new,41
do,40
also,40
out,39
about,38
11,38
line,38
some,38
other,38
example,37
than,36
found,36
time,36
transactions,35
rules,34
total,34
would,33
well,33
use,33
into,33
genealogy,33
database,33
feature,33
changed,32
there,32
eclipse,32
report,32
added,31
20,31
first,31
fixes,30
because,30
tests,30
class,30
approach,30
group,30
test,29
proceedings,29
no,29
history,29
both,29
over,29
different,29
computer,28
third,28
bugs,28
identify,28
projects,28
repositories,28
specific,27
will,27
programming,27
table,27
level,27
mining,26
science,26
grades,26
ast,26
set,26
did,25
variables,25
genealogies,25
mozilla,25
international,25
files,25
shows,24
revision,24
need,24
http,24
release,24
systems,24
while,24
types,24
applied,23
fixed,23
unique,23
section,23
them,23
confidence,23
instance,23
large,23
written,23
later,22
made,22
semantic,22
16,22
variable,22
automatically,22
study,22
snippets,22
conference,22
global,22
error,22
most,22
related,22
size,21
syntactic,21
17,21
25,21
often,21
course,21
link,21
bugzilla,21
programs,21
acm,21
mutual,21
where,21
times,20
log,20
part,20
01,20
05,20
14,20
30,20
pages,20
links,20
engineering,20
then,20
tools,20
design,20
2005,20
find,20
copied,20
copies,20
any,20
see,20
refactoring,20
similar,19
what,19
who,19
carol,19
call,19
significant,19
name,19
developers,19
deletions,19
particular,18
static,18
13,18
cs,18
very,18
so,18
org,18
functionality,18
small,18
during,18
warnings,18
usage,18
control,18
top,17
additions,17
does,17
provide,17
final,17
make,17
23,17
java,17
locally,17
al,17
copy,17
openssh,17
thus,17
even,17
locate,17
conditionally,17
2003,17
python,17
int,17
its,17
future,17
matching,17
case,17
apache,17
order,16
03,16
18,16
19,16
include,16
vsftpd,16
snapshots,16
re,16
up,16
names,16
detectors,16
process,16
habits,16
high,16
dnsjava,16
maintenance,15
beginpaint,15
text,15
snapshot,15
net,15
foo,15
second,15
www,15
us,15
like,15
correlation,15
must,15
could,15
able,15
present,15
every,15
space,15
paper,15
local,15
show,15
struct,14
product,14
reported,14
dsu,14
consistently,14
40,14
endpaint,14
contains,14
identifying,14
transaction,14
had,14
consistent,14
workshop,14
since,14
abstract,14
cannot,14
bottom,14
performance,14
unit,14
detection,14
unfactorable,14
simple,14
developer,14
pairs,14
should,14
hard,13
university,13
three,13
cloning,13
22,13
50,13
programmer,13
statistics,13
deleted,13
de,13
et,13
ex,13
heap,13
allows,13
determine,13
support,13
suspect,13
per,13
pmd,13
given,13
pro,13
tion,13
localnamemap,13
consider,13
snippet,13
finding,13
update,13
linux,13
those,13
renamings,13
however,13
100,13
following,13
identical,12
ieee,12
day,12
average,12
permission,12
quality,12
24,12
60,12
70,12
msr,12
detector,12
running,12
describe,12
research,12
fee,12
diff,12
looking,12
fk,12
likely,12
single,12
techniques,12
identified,12
marmoset,12
detect,12
ing,12
references,12
errors,12
match,12
check,11
provides,11
flow,11
low,11
created,11
rather,11
21,11
relationship,11
32,11
37,11
fields,11
categories,11
user,11
ra,11
cases,11
previous,11
problem,11
distribution,11
understand,11
violations,11
applications,11
before,11
prior,11
problems,11
comment,11
network,11
testing,11
globalnamemap,11
modified,11
assignments,11
dead,11
several,11
interesting,11
object,10
provided,10
multiple,10
syntax,10
successive,10
full,10
whose,10
graph,10
statistically,10
usa,10
00,10
26,10
41,10
open,10
common,10
histories,10
80,10
across,10
edu,10
least,10
generated,10
stored,10
gall,10
addition,10
old,10
help,10
without,10
changing,10
whether,10
followed,10
last,10
fact,10
normalized,10
public,10
track,10
definitions,10
close,10
message,10
extracted,10
developed,10
revisions,10
syn,10
token,10
week,10
result,9
comments,9
quantitative,9
press,9
languages,9
loc,9
possible,9
being,9
structure,9
02,9
28,9
believe,9
long,9
39,9
maps,9
look,9
99,9
useful,9
ccfinder,9
abstraction,9
another,9
string,9
classes,9
levels,9
exceptions,9
various,9
warning,9
form,9
easily,9
modifications,9
ng,9
og,9
y1,9
y2,9
method,9
exist,9
implementation,9
remove,9
working,9
grading,9
archive,9
general,9
questions,9
2000,9
existing,9
currently,9
add,9
paste,9
defect,9
algorithm,9
distributed,9
decisions,9
frequently,9
either,9
bar,9
schema,9
strong,9
available,9
once,9
submission,9
binary,8
200,8
involved,8
page,8
equal,8
short,8
initial,8
experience,8
shown,8
further,8
map,8
lists,8
trees,8
above,8
15,8
73,8
advantage,8
evidence,8
indicates,8
supported,8
might,8
effects,8
investigated,8
presents,8
coupling,8
rb,8
t1,8
connected,8
x1,8
location,8
get,8
component,8
october,8
gives,8
junit,8
hdc,8
manually,8
tree,8
trans,8
2002,8
notice,8
although,8
findbugs,8
summary,8
value,8
body,8
collect,8
lifetime,8
run,8
edinburgh,8
enough,8
contain,8
symposium,8
avoid,8
lineage,8
current,8
zero,8
typemap,8
suggest,8
individual,8
tween,7
propose,7
com,7
less,7
ubranic,7
pair,7
specifically,7
proc,7
finds,7
bodies,7
mine,7
finally,7
oriented,7
properties,7
commit,7
29,7
experiments,7
examined,7
numbers,7
apply,7
sourceforge,7
exists,7
axis,7
failed,7
exception,7
via,7
understanding,7
updating,7
statement,7
way,7
detailed,7
analyzing,7
relationships,7
context,7
complete,7
follows,7
investigate,7
node,7
archives,7
sb,7
wide,7
create,7
proposed,7
here,7
wine,7
lack,7
almost,7
basic,7
renamed,7
prototypes,7
want,7
induce,7
difference,7
proximity,7
early,7
bear,7
debug,7
count,7
variants,7
selected,7
asts,7
evolve,7
frequent,7
respect,7
getprocessheap,7
removed,7
lineages,7
important,7
mentioned,7
assignment,7
little,7
output,7
pinzger,7
murphy,7
vari,7
invoked,7
sun,7
frequency,7
higher,7
records,7
missing,7
42233,6
require,6
infinite,6
hand,6
citation,6
versus,6
53784,6
recursive,6
state,6
defined,6
memory,6
measured,6
measures,6
dependencies,6
requires,6
redistribute,6
1997,6
means,6
correlate,6
introduction,6
record,6
past,6
assigned,6
paired,6
adding,6
umd,6
04,6
parsing,6
granted,6
benefit,6
34,6
38,6
42,6
47,6
90,6
writing,6
instead,6
loops,6
historical,6
technical,6
family,6
education,6
occurs,6
400,6
indicated,6
cumulative,6
define,6
tokens,6
plots,6
submit,6
conclusion,6
webpage,6
republish,6
differences,6
presented,6
otherwise,6
produced,6
uses,6
0005,6
ca,6
language,6
random,6
ge,6
digital,6
edge,6
chosen,6
r1,6
pp,6
t2,6
variety,6
commercial,6
x2,6
learning,6
none,6
terms,6
insight,6
heapalloc,6
development,6
servers,6
much,6
union,6
write,6
classroom,6
analyze,6
consortium,6
measure,6
updated,6
ways,6
potential,6
values,6
duplication,6
scotland,6
relatively,6
additional,6
getclientrect,6
together,6
within,6
return,6
artifacts,6
caused,6
comma,6
59593,6
version2,6
version1,6
post,6
searching,6
faults,6
partial,6
bijection,6
always,6
description,6
described,6
profit,6
original,6
say,6
personal,6
indicate,6
visualization,6
icsm,6
false,6
model,6
template,6
social,6
123,6
access,6
dynamic,6
extractor,6
sions,6
filter,6
category,6
characters,5
good,5
export,5
handling,5
too,5
con,5
including,5
similarly,5
liu,5
develop,5
semantics,5
1999,5
performed,5
checked,5
done,5
tend,5
built,5
bind,5
dis,5
length,5
field,5
don,5
known,5
mea,5
louis,5
examine,5
1a,5
1b,5
31,5
though,5
mismatch,5
loop,5
still,5
internal,5
ver,5
stop,5
density,5
end,5
detected,5
copyright,5
mation,5
tions,5
below,5
non,5
grained,5
far,5
explore,5
few,5
marked,5
keep,5
why,5
kamiya,5
assumption,5
ap,5
deletes,5
search,5
sites,5
ea,5
ed,5
counter,5
500,5
practice,5
contrast,5
pugh,5
author,5
r2,5
estimate,5
zeller,5
heuristic,5
closed,5
joint,5
know,5
examples,5
efforts,5
note,5
groups,5
baker,5
formance,5
resolved,5
reports,5
area,5
perform,5
larger,5
framework,5
earlier,5
void,5
cause,5
declaration,5
viewcvs,5
encounter,5
account,5
june,5
infor,5
2001,5
take,5
tracking,5
positive,5
fine,5
difficult,5
position,5
best,5
conditional,5
reasons,5
fall,5
statements,5
exam,5
providing,5
aggressive,5
rcs,5
parser,5
algorithms,5
prototype,5
missouri,5
already,5
maintaining,5
until,5
describes,5
fischer,5
view,5
introduce,5
editing,5
buggy,5
equivalent,5
bad,5
complex,5
submitted,5
procedure,5
maryland,5
directly,5
relevant,5
attached,5
renaming,5
stu,5
key,5
166,5
especially,5
sys,5
guide,5
weak,5
regular,5
checkstyle,5
studied,5
reuse,4
eick,4
extracts,4
mined,4
statistical,4
1000,4
making,4
better,4
fileversion,4
spots,4
question,4
improve,4
structurally,4
discretized,4
refactor,4
team,4
tech,4
overall,4
aspects,4
manage,4
primary,4
loo,4
1996,4
disappeared,4
guarded,4
dec,4
evolved,4
examining,4
factorable,4
training,4
dns,4
messages,4
main,4
logs,4
includes,4
mdi,4
transformer,4
due,4
observed,4
module,4
33,4
expression,4
associated,4
45,4
schneider,4
52,4
59,4
modification,4
61,4
64,4
68,4
69,4
horwitz,4
relation,4
preliminary,4
95,4
secret,4
jackson,4
command,4
leading,4
visual,4
representing,4
wrote,4
canada,4
casts,4
companion,4
hovemeyer,4
against,4
around,4
expected,4
simultaneous,4
syntactically,4
logistic,4
refer,4
plan,4
implicit,4
web,4
certain,4
num,4
along,4
colleges,4
submissions,4
acknowledgments,4
naive,4
es,4
origin,4
placed,4
else,4
manipulation,4
predicting,4
suggests,4
sigcse,4
recover,4
ps,4
edit,4
assist,4
tu,4
ui,4
details,4
extract,4
similarity,4
uniquelinelocation,4
xlib,4
additionally,4
reveal,4
scale,4
bayes,4
follow,4
stroulia,4
independent,4
touchgraph,4
committed,4
heapfree,4
queries,4
pasted,4
list,4
600,4
interface,4
considered,4
gtk,4
period,4
basis,4
represents,4
department,4
interested,4
toolkit,4
indicative,4
validate,4
automated,4
stronger,4
detects,4
infrastructure,4
deletion,4
identifies,4
hwnd,4
confirmed,4
grown,4
unfortunately,4
classify,4
mean,4
databases,4
hot,4
calls,4
zimmermann,4
transac,4
introductory,4
passed,4
action,4
parametrized,4
occur,4
experiences,4
principles,4
ast1,4
appears,4
delete,4
ast2,4
collection,4
rule,4
definition,4
nealogy,4
event,4
indicators,4
800,4
manual,4
saint,4
previously,4
improvement,4
age,4
kenyon,4
likelihood,4
real,4
predict,4
application,4
hypothesis,4
jar,4
api,4
tactic,4
popular,4
through,4
gutwin,4
fridays,4
yang,4
cast,4
consis,4
matches,4
care,4
architecture,4
accounts,4
amount,4
baz,4
accurately,4
national,4
sem,4
nearest,4
typically,4
parts,4
sim,4
views,4
bit,4
alive,4
implementing,4
split,4
focused,4
109,4
