token,neighbor,similarity
the,not,0.9999967159642813
the,be,0.9999461681921099
the,ccfinder,0.9999122783945561
the,clones,0.9997729915934483
the,this,0.9997461621052268
code,software,0.9998860116984399
code,their,0.9998039828013956
code,how,0.9997826658773863
code,snippets,0.9997320995245332
code,example,0.9997308737223392
of,consistently,0.9999864999589849
of,tools,0.9999864678251784
of,token,0.9999864678251784
of,refactoring,0.9999240554202581
of,design,0.9998621812114515
in,clones,0.9998922061238088
in,it,0.9998854666060578
in,to,0.9998316144679735
in,not,0.9997638266124013
in,the,0.9997149319130031
clones,in,0.9998922061238088
clones,to,0.9998877064574277
clones,best,0.999879218677311
clones,propose,0.999879218677311
clones,does,0.999879218677311
clone,decisions,0.9999547877046471
clone,detector,0.9999547877046471
clone,component,0.9999547877046471
clone,cloning,0.9999187234339832
clone,maintenance,0.999872551253805
and,their,0.9999744682234097
and,it,0.9998114321614259
and,version,0.9997228602944824
and,code,0.9996407298929814
and,detectors,0.9995278695075289
to,change,0.9999459640437293
to,best,0.9999083774817581
to,propose,0.9999083774817581
to,does,0.9999083774817581
to,clones,0.9998877064574277
that,ge,0.9998246477811674
that,as,0.9998159647796683
that,refactoring,0.999765084532491
that,design,0.9997600218293908
that,often,0.9997600218293908
we,13,0.999791440030624
we,set,0.999791440030624
we,are,0.9997466966234743
we,genealogy,0.9997278563000378
we,them,0.9996867450569735
is,one,0.9998597674273083
is,has,0.9998528426041962
is,our,0.9997969675507
is,decisions,0.9996633948433957
is,detector,0.9996633948433957
programmers,for,0.9999708038287012
programmers,how,0.9998392410121121
programmers,changed,0.9997103654067676
programmers,software,0.9995782304672721
programmers,code,0.9995232513578199
not,the,0.9999967159642813
not,be,0.9999332131862883
not,ccfinder,0.9998796661558723
not,clones,0.9997899112428377
not,in,0.9997638266124013
genealogy,ge,0.9999590496861648
genealogy,13,0.9998797393324222
genealogy,set,0.9998797393324222
genealogy,are,0.9998629392966423
genealogy,found,0.9997552298623411
for,programmers,0.9999708038287012
for,how,0.9999378641481127
for,software,0.9997697617259972
for,code,0.9997207795401087
for,changed,0.999584913238425
change,best,0.9999726594200277
change,propose,0.9999726594200277
change,does,0.9999726594200277
change,to,0.9999459640437293
change,same,0.9999104379485922
if,when,0.9996970761403259
if,update,0.9996530133346064
if,12,0.999597795947301
if,only,0.998854186474118
if,were,0.9986724576368529
our,one,0.9999797664329552
our,new,0.9998494682732391
our,patterns,0.9998247722998327
our,is,0.9997969675507
our,given,0.9997498371339582
or,11,0.9999561102513176
or,use,0.9999561102513176
or,similar,0.9998720270989154
or,from,0.9996909293781594
or,text,0.9995456416186945
genealogies,lineages,0.9999449969643904
genealogies,19,0.9997690356646303
genealogies,unfactorable,0.9997542130671342
genealogies,locally,0.9996100756350478
genealogies,number,0.9993175306315778
evolution,built,0.9999650806212045
evolution,project,0.9999650806212045
evolution,aggressive,0.9999650806212045
evolution,between,0.9999650806212045
evolution,section,0.9998385567098192
using,extracted,1.0
using,2002,1.0
using,another,1.0
using,suggest,1.0
using,understand,1.0
this,ccfinder,0.9998371022060673
this,as,0.999801054104618
this,the,0.9997461621052268
this,programming,0.9997109474374068
this,then,0.9997108500225745
are,them,0.9999482621347617
are,found,0.9998920772966595
are,genealogy,0.9998629392966423
are,we,0.9997466966234743
are,many,0.9997284515260866
snippets,example,0.999877814715101
snippets,make,0.9997962263095309
snippets,software,0.9997915832173576
snippets,code,0.9997320995245332
snippets,have,0.9996764791993513
copied,existing,0.9993303429824363
copied,detection,0.9993303429824363
copied,duplicated,0.9991147221157909
copied,future,0.9991147221157909
copied,li,0.9991147221157909
when,update,0.9999296395602003
when,if,0.9996970761403259
when,changes,0.9995710083817151
when,can,0.9995404457445811
when,but,0.9989466131812903
refactoring,design,0.9999907004962685
refactoring,often,0.9999907004962685
refactoring,consistently,0.999974319499245
refactoring,tools,0.9999742873658298
refactoring,token,0.9999742873658298
carol,simth,0.9999655390963388
carol,less,0.9999655390963388
carol,hypothesis,0.9999655390963388
carol,gies,0.9999655390963388
carol,removed,0.9999655390963388
as,with,0.9999193986388629
as,that,0.9998159647796683
as,this,0.999801054104618
as,ge,0.9997565242919507
as,programming,0.999703112775113
may,on,0.9994373612896635
may,source,0.9989352306345473
may,manage,0.9988223578451634
may,evolved,0.9988223578451634
may,what,0.9988223578451634
one,our,0.9999797664329552
one,is,0.9998597674273083
one,has,0.9997487334277719
one,all,0.9997176810026038
one,new,0.9997167704949375
they,changed,0.9997919751966277
they,2004,0.9996284264405617
they,15,0.9996283938923209
they,copy,0.9996208076100566
they,programmers,0.9992642618827304
software,example,0.9999440247341642
software,how,0.9999275312546246
software,code,0.9998860116984399
software,snippets,0.9997915832173576
software,for,0.9997697617259972
from,similar,0.999939188250061
from,program,0.9997933979377298
from,or,0.9996909293781594
from,11,0.9996821119373416
from,use,0.9996821119373416
group,least,0.9999936588014247
group,initial,0.9999160725445654
group,parametrized,0.9999160725445654
group,defined,0.9999160725445654
group,node,0.9999160725445654
have,make,0.9999382441479864
have,example,0.9999137328372953
have,software,0.9997562626424717
have,snippets,0.9996764791993513
