word,freq
the,285
of,192
to,152
in,104
that,76
patterns,70
and,68
are,66
function,65
code,63
we,63
is,59
pattern,57
this,52
source,46
for,45
called,45
instances,43
after,42
be,42
functions,37
on,36
or,34
rules,34
these,32
software,32
may,28
our,25
as,25
how,25
tool,22
by,22
repository,21
each,21
data,20
system,19
used,18
functionality,18
usage,18
new,18
specific,18
with,18
an,18
have,17
instance,17
more,17
conditionally,17
work,16
at,16
added,16
figure,16
beginpaint,15
has,14
endpaint,14
been,14
need,14
from,14
file,14
call,14
number,13
not,13
were,13
heap,13
two,12
changes,12
mining,12
many,12
project,11
looking,11
provide,11
which,11
some,11
network,10
it,10
10,10
revision,10
can,10
analysis,10
developers,10
what,9
must,9
such,9
they,9
there,9
error,9
study,9
one,9
only,9
interesting,8
if,8
cs,8
was,8
found,8
also,8
hdc,8
shows,8
between,8
identify,8
based,7
context,7
99,7
invoked,7
getprocessheap,7
over,7
should,7
times,7
both,7
violations,7
wine,7
type,7
example,7
cvs,7
proceedings,7
involved,6
proximity,6
future,6
determine,6
applied,6
developer,6
describe,6
did,6
debug,6
25,6
categories,6
use,6
paired,6
control,6
getclientrect,6
followed,6
large,6
into,6
case,6
close,6
identified,6
made,6
important,6
group,6
when,6
other,6
table,6
heapalloc,6
identifying,5
find,5
exist,5
mine,5
searching,5
handling,5
look,5
social,5
1a,5
chosen,5
filter,5
often,5
simple,5
flow,5
will,5
while,5
category,5
1b,5
useful,5
where,5
sites,5
see,5
very,5
memory,5
static,4
workshop,4
explore,4
database,4
insight,4
specifically,4
systems,4
per,4
up,4
process,4
mined,4
hwnd,4
site,4
manipulation,4
calls,4
16,4
preliminary,4
tools,4
removed,4
errors,4
particular,4
way,4
ps,4
net,4
conditional,4
most,4
relationships,4
results,4
change,4
doing,4
structure,4
distributed,4
17,4
mdi,4
international,4
implicit,4
bugs,4
touchgraph,4
either,4
repositories,4
end,4
attached,4
supported,4
api,4
frequently,4
edge,4
part,4
heapfree,4
about,4
unique,4
guarded,4
since,4
notion,3
area,3
once,3
design,3
internal,3
bit,3
19,3
calling,3
applications,3
produced,3
than,3
prior,3
state,3
msr,3
another,3
do,3
interact,3
recovered,3
involve,3
previous,3
2004,3
every,3
set,3
full,3
copies,3
drawicon,3
24,3
clearly,3
goal,3
string,3
computer,3
conditionals,3
indicate,3
architecture,3
al,3
et,3
de,3
open,3
section,3
linkbrowser,3
awareness,3
recover,3
gives,3
related,3
apply,3
successful,3
14,3
being,3
casts,3
same,3
bug,3
engler,3
stored,3
paper,3
studied,3
first,3
bar,3
its,3
projects,3
quick,3
time,3
acm,3
terms,3
wide,3
http,3
heuristic,3
needs,3
gui,3
pairing,3
later,3
zoo,3
level,3
foo,3
lists,2
hollingsworth,2
153,2
ways,2
further,2
name,2
provided,2
settextcolor,2
operating,2
chou,2
off,2
finer,2
likely,2
why,2
manage,2
difficulty,2
allocated,2
research,2
relation,2
commit,2
2002,2
entering,2
analyze,2
uk,2
fg02,2
hallem,2
binary,2
permission,2
initialized,2
similar,2
online,2
return,2
edinburgh,2
different,2
symposium,2
line,2
follows,2
names,2
keep,2
22,2
all,2
pinzger,2
neighborhood,2
blocks,2
expected,2
